theta1,theta2,theta3,thetadot1,thetadot2,thetadot3,tau1,tau2,tau3
0.00467590501982486,-0.00155863500660829,-0.00155863500660829,0.0329921515347982,-0.0109973838449327,-0.0109973838449327,0.00898296922826107,0.001895982989636,7.64510161198365e-05
0.00474211263567785,-0.00158070421189262,-0.00158070421189262,0.0332154308078742,-0.0110718102692914,-0.0110718102692914,0.00911016109337179,0.00192282872542169,7.75335093054523e-05
0.00480876660901507,-0.00160292220300502,-0.00160292220300502,0.0334385090190203,-0.0111461696730068,-0.0111461696730068,0.00923821042314323,0.00194985544570549,7.86233003887978e-05
0.00487586653771265,-0.00162528884590422,-0.00162528884590422,0.0336613861682365,-0.0112204620560788,-0.0112204620560788,0.00936711644383215,0.00197706298730878,7.97203827938444e-05
0.00494341201964673,-0.00164780400654891,-0.00164780400654891,0.033884062255523,-0.0112946874185077,-0.0112946874185077,0.00949687838167114,0.00200445118705049,8.08247499445371e-05
0.00501140265269345,-0.00167046755089782,-0.00167046755089782,0.0341065372808796,-0.0113688457602932,-0.0113688457602932,0.00962749546286826,0.00203201988174697,8.19363952647949e-05
0.00507983803472896,-0.00169327934490965,-0.00169327934490965,0.0343288112443064,-0.0114429370814355,-0.0114429370814355,0.0097589669136068,0.00205976890821206,8.30553121785101e-05
0.00514871776362939,-0.00171623925454313,-0.00171623925454313,0.0345508841458033,-0.0115169613819344,-0.0115169613819344,0.00989129196004495,0.00208769810325695,8.4181494109548e-05
0.00521804143727089,-0.00173934714575696,-0.00173934714575696,0.0347727559853705,-0.0115909186617902,-0.0115909186617902,0.0100244698283155,0.00211580730369024,8.53149344817468e-05
0.00528780865352959,-0.00176260288450986,-0.00176260288450986,0.0349944267630078,-0.0116648089210026,-0.0116648089210026,0.0101584997445257,0.00214409634631787,8.64556267189167e-05
0.00535801901028163,-0.00178600633676054,-0.00178600633676054,0.0352158964787152,-0.0117386321595717,-0.0117386321595717,0.0102933809347566,0.00217256506794309,8.76035642448404e-05
